iter	Passed	Remaining
399	47233	307018
400	47351	306900
401	47461	306729
402	47576	306593
403	47722	306651
404	47837	306513
405	47935	306268
406	48047	306109
407	48143	305855
408	48249	305659
409	48367	305539
410	48483	305408
411	48603	305304
412	48705	305084
413	48810	304889
414	48921	304728
415	49046	304655
416	49145	304418
417	49254	304245
418	49372	304131
419	49489	304005
420	49597	303830
421	49723	303761
422	49839	303633
423	49939	303408
424	50068	303356
425	50188	303250
426	50305	303129
427	50405	302905
428	50515	302740
429	50637	302647
430	50741	302445
431	50856	302311
432	50956	302090
433	51071	301957
434	51180	301790
435	51280	301569
436	51386	301382
437	51480	301128
438	51593	300981
439	51703	300819
440	51826	300733
441	51936	300575
442	52045	300405
443	52195	300474
444	52310	300346
445	52406	300106
446	52506	299884
447	52651	299923
448	52772	299829
449	52894	299733
450	53010	299608
451	53107	299376
452	53212	299187
453	53322	299029
454	53419	298796
455	53517	298570
456	53633	298444
457	53738	298262
458	53841	298063
459	53957	297940
460	54062	297752
461	54174	297609
462	54292	297496
463	54401	297333
464	54510	297172
465	54637	297107
466	54745	296936
467	54869	296855
468	54990	296762
469	55102	296613
470	55196	296372
471	55288	296123
472	55397	295960
473	55501	295775
474	55620	295669
475	55737	295547
476	55838	295347
477	55953	295217
478	56065	295076
479	56169	294891
480	56284	294761
481	56398	294631
482	56520	294540
483	56629	294379
484	56740	294229
485	56844	294045
486	56941	293828
487	57038	293606
488	57140	293412
489	57243	293227
490	57361	293115
491	57459	292903
492	57567	292741
493	57680	292607
494	57789	292451
495	57890	292253
496	58011	292157
497	58139	292099
498	58261	292009
499	58376	291883
500	58495	291777
501	58595	291577
502	58701	291407
503	58806	291234
504	58911	291056
505	59028	290943
506	59148	290842
507	59257	290687
508	59378	290594
509	59489	290447
510	59592	290265
511	59694	290079
512	59802	289920
513	59918	289800
514	60014	289586
515	60119	289414
516	60226	289249
517	60332	289082
518	60460	289020
519	60578	288911
520	60695	288799
521	60797	288613
522	60900	288433
523	61018	288323
524	61119	288132
525	61220	287943
526	61324	287769
527	61419	287553
528	61521	287371
529	61620	287176
530	61729	287022
531	61842	286892
532	61951	286744
533	62059	286590
534	62298	287039
535	62399	286851
536	62514	286728
537	62616	286545
538	62732	286427
539	62836	286254
540	62950	286126
541	63062	285992
542	63165	285816
543	63277	285681
544	63389	285542
545	63524	285508
546	63641	285395
547	63744	285221
548	63858	285094
549	63961	284918
550	64064	284742
551	64179	284623
552	64297	284512
553	64445	284536
554	64561	284419
555	64657	284211
556	64761	284042
557	64868	283888
558	64983	283764
559	65097	283640
560	65191	283428
561	65301	283281
562	65419	283172
563	65538	283071
564	65668	283012
565	65767	282821
566	65887	282723
567	66003	282604
568	66124	282512
569	66232	282359
570	66326	282150
571	66433	281993
572	66540	281837
573	66650	281697
574	66759	281551
575	66857	281360
576	66973	281241
577	67091	281134
578	67200	280988
579	67305	280828
580	67419	280702
581	67526	280547
582	67633	280394
583	67750	280282
584	67865	280163
585	67968	279994
586	68104	279958
587	68194	279736
588	68291	279541
589	68405	279417
590	68518	279293
591	68628	279151
592	68730	278977
593	68835	278818
594	68951	278702
595	69052	278528
596	69177	278446
597	69283	278291
598	69401	278186
599	69509	278036
600	69638	277974
601	69739	277800
602	69842	277630
603	69968	277557
604	70063	277357
605	70161	277171
606	70273	277041
607	70397	276957
608	70524	276886
609	70621	276696
610	70729	276552
611	70831	276381
612	70941	276243
613	71054	276116
614	71163	275974
615	71275	275846
616	71393	275739
617	71522	275674
618	71630	275527
619	71725	275332
620	71848	275246
621	71961	275119
622	72081	275019
623	72186	274864
624	72283	274678
625	72394	274542
626	72506	274412
627	72613	274267
628	72725	274136
629	72827	273969
630	72934	273820
631	73042	273677
632	73141	273501
633	73250	273361
634	73364	273238
635	73464	273064
636	73556	272863
637	73669	272737
638	73772	272578
639	73914	272559
640	74026	272431
641	74109	272197
642	74199	271986
643	74307	271845
644	74418	271714
645	74528	271578
646	74652	271493
647	74756	271336
648	74881	271256
649	74980	271083
650	75099	270981
651	75207	270837
652	75302	270651
653	75401	270477
654	75517	270364
655	75643	270288
656	75753	270152
657	75864	270021
658	75971	269878
659	76076	269725
660	76186	269592
661	76295	269455
662	76411	269343
663	76510	269170
664	76627	269058
665	76737	268927
666	76840	268768
667	76943	268611
668	77054	268481
669	77168	268361
670	77273	268212
671	77381	268071
672	77497	267958
673	77613	267846
674	77713	267680
675	77820	267538
676	77926	267391
677	78032	267245
678	78138	267097
679	78244	266951
680	78350	266807
681	78450	266638
682	78579	266571
683	78697	266467
684	78809	266340
685	78910	266178
686	79019	266044
687	79119	265878
688	79229	265747
689	79340	265618
690	79447	265475
691	79570	265388
692	79700	265322
693	79815	265208
694	79932	265098
695	80031	264932
696	80155	264847
697	80277	264756
698	80395	264648
699	80497	264491
700	80607	264361
701	80716	264226
702	80825	264091
703	80947	263998
704	81066	263897
705	81198	263836
706	81298	263675
707	81396	263502
708	81502	263360
709	81605	263205
710	81718	263085
711	81831	262963
712	81941	262833
713	82044	262679
714	82156	262555
715	82328	262622
716	82508	262715
717	82633	262632
718	82812	262720
719	82952	262683
720	83089	262635
721	83191	262479
722	83286	262299
723	83415	262228
724	83539	262140
725	83653	262023
726	83768	261906
727	83870	261748
728	83983	261629
729	84088	261480
730	84193	261333
731	84307	261214
732	84423	261103
733	84537	260983
734	84649	260859
735	84759	260727
736	84886	260648
737	85002	260536
738	85110	260399
739	85230	260297
740	85349	260193
741	85450	260037
742	85569	259932
743	85676	259791
744	85785	259658
745	85893	259522
746	86001	259385
747	86125	259296
748	86224	259132
749	86330	258991
750	86427	258823
751	86530	258671
752	86649	258568
753	86767	258461
754	86876	258328
755	86984	258191
756	87085	258035
757	87180	257861
758	87285	257717
759	87389	257570
760	87497	257433
761	87597	257273
762	87707	257144
763	87822	257030
764	87947	256943
765	88072	256859
766	88198	256777
767	88302	256630
768	88406	256482
769	88521	256368
770	88649	256290
771	88753	256142
772	88855	255990
773	88954	255829
774	89060	255689
775	89182	255595
776	89283	255439
777	89395	255318
778	89503	255181
779	89615	255058
780	89724	254928
781	89825	254774
782	89930	254629
783	90047	254523
784	90162	254406
785	90268	254266
786	90379	254141
787	90498	254039
788	90609	253913
789	90718	253782
790	90831	253662
791	90932	253509
792	91048	253398
793	91175	253315
794	91282	253179
795	91392	253052
796	91500	252917
797	91611	252791
798	91712	252640
799	91827	252526
800	91947	252426
801	92060	252306
802	92167	252170
803	92308	252127
804	92399	251945
805	92514	251830
806	92633	251730
807	92741	251596
808	92862	251498
809	92977	251382
810	93091	251267
811	93187	251100
812	93309	251005
813	93449	250959
814	93598	250936
815	93741	250895
816	93886	250862
817	94001	250747
818	94119	250640
819	94252	250573
820	94354	250424
821	94473	250319
822	94588	250206
823	94695	250069
824	94801	249930
825	94914	249810
826	95017	249665
827	95117	249511
828	95232	249396
829	95352	249295
830	95449	249132
831	95545	248970
832	95655	248840
833	95757	248693
834	95868	248569
835	95976	248437
836	96089	248317
837	96195	248180
838	96297	248032
839	96434	247973
840	96535	247824
841	96643	247692
842	96763	247591
843	96872	247462
844	96987	247347
845	97097	247219
846	97212	247106
847	97313	246955
848	97412	246801
849	97523	246677
850	97648	246587
851	97754	246450
852	97865	246326
853	97980	246213
854	98077	246053
855	98188	245928
856	98317	245852
857	98407	245674
858	98652	245884
859	98763	245759
860	98869	245623
861	98982	245503
862	99098	245392
863	99206	245260
864	99313	245125
865	99425	245004
866	99543	244897
867	99656	244778
868	99763	244644
869	99898	244578
870	100014	244467
871	100122	244335
872	100228	244200
873	100334	244063
874	100432	243906
875	100545	243787
876	100647	243641
877	100764	243533
878	100866	243388
879	100975	243259
880	101099	243165
881	101204	243029
882	101313	242900
883	101429	242789
884	101530	242641
885	101626	242481
886	101736	242354
887	101843	242223
888	101950	242089
889	102054	241949
890	102167	241831
891	102272	241692
892	102381	241564
893	102493	241444
894	102603	241318
895	102715	241197
896	102820	241060
897	102927	240927
898	103037	240803
899	103142	240665
900	103238	240508
901	103341	240367
902	103446	240229
903	103554	240098
904	103677	240004
905	103794	239896
906	103923	239814
907	104034	239692
908	104143	239563
909	104252	239436
910	104350	239283
911	104467	239174
912	104583	239063
913	104691	238934
914	104793	238792
915	104906	238674
916	105011	238538
917	105113	238395
918	105236	238300
919	105341	238163
920	105444	238023
921	105561	237914
922	105681	237812
923	105793	237691
924	105891	237540
925	106010	237436
926	106103	237273
927	106213	237149
928	106320	237017
929	106440	236916
930	106548	236787
931	106662	236671
932	106790	236588
933	106890	236441
934	106998	236311
935	107095	236159
936	107205	236034
937	107317	235915
938	107428	235793
939	107532	235656
940	107638	235524
941	107749	235401
942	107865	235291
943	107979	235175
944	108099	235074
945	108215	234963
946	108327	234842
947	108450	234747
948	108558	234619
949	108677	234513
950	108776	234366
951	108877	234223
952	108990	234105
953	109110	234003
954	109222	233885
955	109333	233762
956	109440	233633
957	109551	233511
958	109667	233401
959	109796	233318
960	109913	233209
961	110027	233093
962	110140	232977
963	110246	232845
964	110362	232734
965	110470	232605
966	110562	232444
967	110684	232346
968	110782	232196
969	110881	232050
970	110997	231941
971	111107	231817
972	111215	231690
973	111334	231584
974	111436	231444
975	111548	231325
976	111651	231187
977	111763	231068
978	111883	230965
979	111992	230841
980	112110	230734
981	112214	230599
982	112315	230458
983	112421	230326
984	112548	230238
985	112662	230123
986	112786	230029
987	112883	229880
988	112982	229734
989	113110	229649
990	113235	229556
991	113340	229422
992	113446	229292
993	113558	229172
994	113669	229051
995	113782	228936
996	113882	228793
997	114001	228688
998	114106	228556
999	114218	228436
1000	114329	228316
1001	114458	228231
1002	114601	228174
1003	114718	228064
1004	114833	227952
1005	114938	227820
1006	115048	227697
1007	115150	227559
1008	115291	227497
1009	115408	227388
1010	115509	227248
1011	115629	227146
1012	115730	227005
1013	115835	226872
1014	115939	226738
1015	116048	226614
1016	116148	226472
1017	116247	226328
1018	116365	226222
1019	116477	226104
1020	116583	225972
1021	116687	225839
1022	116784	225692
1023	116876	225535
1024	116986	225413
1025	117103	225304
1026	117210	225176
1027	117318	225051
1028	117424	224921
1029	117533	224797
1030	117632	224654
1031	117745	224537
1032	117865	224434
1033	117989	224340
1034	118099	224217
1035	118212	224101
1036	118309	223954
1037	118421	223837
1038	118530	223714
1039	118642	223594
1040	118746	223461
1041	118844	223317
1042	118953	223194
1043	119055	223057
1044	119160	222927
1045	119276	222816
1046	119376	222676
1047	119472	222528
1048	119583	222409
1049	119697	222295
